,Modelo,Precio,Tamaño,Distancia,Tecnología,Resolución,Smart TV,Sonido,Altavoces,HDMI,Marca
0,TV LG 55C15 (OLED - 55'' - 140 cm - 4K Ultra HD - Smart TV),1249.0,55,1.68,OLED,4K Ultra HD,Sí,40 W,2.2,4,LG
1,TV LG 65C15 (OLED - 65'' - 165 cm - 4K Ultra HD - Smart TV),1599.0,65,1.98,OLED,4K Ultra HD,Sí,40 W,2.2,4,LG
2,TV LG 48C15 (OLED - 48'' - 122 cm - 4K Ultra HD - Smart TV),1890.89,48,1.49,OLED,4K Ultra HD,Sí,40 W,2.2,4,LG
3,TV LG 55G16 (OLED - 55'' - 140 cm - 4K Ultra HD - Smart TV),1495.0,55,1.68,OLED,4K Ultra HD,Sí,60 W,4.2,4,LG
4,TV LG 55UP77006LB (LED - 55'' - 140 cm - 4K Ultra HD - Smart TV),469.0,55,1.68,LCD-LED,4K Ultra HD,Sí,20 W,2.0,2,LG
5,TV LG 55NANO756 (Nano Cell - 55'' - 140 cm - 4K Ultra HD - Smart TV),599.0,55,1.68,LCD-LED,4K Ultra HD,Sí,20 W,2.0,3,LG
6,TV SMART TECH SMT40N30FC4U1B1 (LED - 40'' - 102 cm - Full HD - Smart Tv),235.99,40,1.5,LCD-LED,Full HD,Sí,16W,2,3,SMART
7,TV HISENSE 58A7100F (LED - 58'' - 147 cm - 4K Ultra HD - Smart TV),429.99,58,1.77,LCD-LED,4K Ultra HD,Sí,16 W,2,3,HISENSE
8,TV LG 43UP77006LB (LED - 43'' - 109 cm - 4K Ultra HD - Smart TV),379.0,43,1.31,LCD-LED,4K Ultra HD,Sí,20 W,2.0,2,LG
9,TV LG 50UP77006LB (LED - 50'' 127 cm - 4K Ultra HD - Smart TV),449.0,50,1.52,LCD-LED,4K Ultra HD,Sí,20 W,2.0,2,LG
10,TV LG 65G16 (OLED - 65'' - 165 cm - 4K Ultra HD - Smart TV),1995.0,65,1.98,OLED,4K Ultra HD,Sí,60 W,4.2,4,LG
11,TV LG 65UP77006LB (LED - 65'' - 165 cm - 4K Ultra HD - Smart TV),599.0,65,1.98,LCD-LED,4K Ultra HD,Sí,20 W,2.0,2,LG
12,TV LG 50NANO756 (Nano Cell - 50'' - 127 cm - 4K Ultra HD - Smart TV),499.0,50,1.52,LCD-LED,4K Ultra HD,Sí,20 W,2.0,3,LG
13,TV SILVER 410885 (LED - 55'' - 140 cm - 4K Ultra HD - Smart TV),537.09,55,1.68,LCD-LED,4K Ultra HD,Sí,20 W,2.0,3,SILVER
14,TV LG 77C15 (OLED - 77'' - 196 cm - 4K Ultra HD - Smart TV),6332.39,77,2.35,OLED,4K Ultra HD,Sí,40 W,2.2,4,LG
15,TV SMART TECH SMT50S10UC2U2G1 (LED - 50'' - 127 cm - 4K Ultra HD - Smart Tv),329.99,50,,LCD-LED,4K Ultra HD,Sí,16W,2.0,3,SMART
16,TV LG 75UP77006LB (LED - 75'' - 191 cm - 4K Ultra HD - Smart TV),789.99,75,,LCD-LED,4K Ultra HD,Sí,20 W,2.0,2,LG
17,TV LG 48A16LA (OLED - 48'' - 122 cm - 4K Ultra HD - Smart TV),849.0,48,1.49,OLED,4K Ultra HD,Sí,20 W,2.0,3,LG
18,TV HISENSE 50A6BG (LED - 50'' - 127 cm - 4K Ultra HD - Smart TV),374.99,50,,LCD-LED,4K Ultra HD,Sistema operativo,16W,2.0,,HISENSE
